,cut,direction,obj,Al2O3,Fe,Mn,P,S,SiO2,tonnage
61,01-01-02-01-04,SN,1.010517,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
62,01-01-02-04-02,SN,0.379867,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
63,01-01-02-02-04,SN,0.544805,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
64,01-01-01-03-07,SN,0.489359,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
65,01-01-02-01-05,SN,1.010517,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
66,01-01-03-03-04,SN,0.494437,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
67,01-01-02-02-05,SN,0.674516,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
68,01-01-02-03-04,SN,0.417416,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
69,01-01-01-03-08,SN,0.468529,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
70,01-01-02-03-05,SN,0.456764,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
71,01-01-02-04-03,SN,0.364004,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
72,01-01-02-04-04,SN,0.333333,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
73,01-01-02-01-06,SN,0.807684,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
74,01-01-03-02-05,SN,0.641509,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
75,01-01-02-04-05,SN,0.440155,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
76,01-01-02-01-07,SN,0.807684,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
77,01-01-03-03-05,SN,0.484761,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
78,01-01-02-02-06,SN,0.674516,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
79,01-01-01-04-06,SN,0.442586,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
80,01-01-02-01-08,SN,1.182442,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
81,01-01-03-04-04,SN,0.400687,1.9378927404568504,63.294967178239496,0.0835167997579556,0.121066723151841,0.0135139693693569,3.68859947226861,6784.45896376508
82,01-01-01-03-09,SN,0.58097,2.34655290226431,61.39915657107139,0.112736302055619,0.0777845849115915,0.0219716786043065,4.36929208121153,4912.08383240565
83,01-01-03-02-06,SN,0.768278,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
84,01-01-02-02-07,SN,0.659357,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
85,01-01-01-03-10,SN,0.93651,2.35386301065751,61.4897839041652,0.114337888428197,0.0789170204987782,0.0239515971526089,4.109253352843241,3038.811079176229
86,01-01-03-02-07,SN,0.768278,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
87,01-01-03-02-08,SN,0.5,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
88,01-01-03-03-06,SN,0.426252,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
89,01-01-03-03-07,SN,0.387097,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
90,01-01-03-04-05,SN,0.363154,1.9378927404568504,63.294967178239496,0.0835167997579556,0.121066723151841,0.0135139693693569,3.68859947226861,6784.45896376508
91,01-01-01-04-07,SN,0.496134,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
92,01-01-02-01-09,SN,1.182442,2.64669462716538,63.03427685512821,0.0329856717243055,0.101241972889949,0.0205356577696627,3.95975132287842,1467.6134633184101
93,01-01-02-02-08,SN,0.544133,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
94,01-01-02-02-09,SN,0.5,2.39914174269372,62.9988168206339,0.0386675962073881,0.11159808004692,0.0171281088530916,3.76567710659758,3451.362932779329
95,01-01-01-04-08,SN,0.450339,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
96,01-01-02-03-06,SN,0.47713,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
97,01-01-02-04-06,SN,0.348845,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
98,01-01-02-01-10,SN,1.982879,2.64377460067266,63.062549893856,0.032608910817055,0.101828463627706,0.0204813108274598,3.92563591326802,472.57382165281194
99,01-01-03-03-08,SN,0.484761,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
100,01-01-02-02-10,SN,1.344369,2.42592669134829,62.991775151685104,0.0381678362746606,0.109988271988984,0.0173676569620244,3.79123340205001,1603.85813107513
101,01-01-01-04-09,SN,0.450339,2.34651509871838,61.26677726185989,0.0977854981704418,0.0738988343601867,0.0199540162342432,4.59051839041804,6449.618550575021
102,01-01-03-02-09,SN,0.825274,2.17114026532067,62.734242591095104,0.10057634237972198,0.114495874306973,0.0163865050413746,3.8638840459360297,3549.74326112738
103,01-01-03-03-09,SN,0.406899,2.04679006428678,62.9602567577147,0.0953453150044929,0.114019204144869,0.0151584305149692,3.8922177019524495,5167.10111244623
104,01-01-01-04-10,SN,0.898437,2.35293466678094,61.4051259390726,0.105866055462022,0.0769542694449907,0.0222352520048032,4.3546211152152,4971.811008087821
105,01-01-02-03-07,SN,0.467178,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
106,01-01-02-04-07,SN,0.348845,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
107,01-01-02-03-08,SN,0.397511,2.22546674462867,63.1483735022446,0.0407234859304904,0.116245979647291,0.0153363211869876,3.69344199781916,5023.8960785451
108,01-01-02-04-08,SN,0.348845,2.2583693865228303,62.966485319288104,0.0424647560035097,0.107517185260718,0.015332122123865003,4.20242419940856,6596.42922431087
